Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
,Evangelion: 3.33 You Can (Not) Redo,2012,,✓,,✓,,,Manga Entertainment,Hideaki Anno; Masayuki,
,"Witch, The",2015,,✓,✓,✓,,,Second Sight,Robert Eggers,"Spine styled ""The VVitch: A New England Folktale"""
Warriors Two / The Prodigal Son,Warriors Two,1978,,✓,,✓,,,Eureka,Sammo Hung,
Warriors Two / The Prodigal Son,"Prodigal Son, The",1981,,✓,,✓,,,Eureka,Sammo Hung,
,Spider-Man,2002,,✓,,✓,,,Sony Pictures,Sam Raimi,
Alfred Hitchcock Classics Collection,Rear Window,1954,,✓,✓,✓,,,Universal,Alfred Hitchcock,
Alfred Hitchcock Classics Collection,Vertigo,1958,,✓,✓,✓,,,Universal,Alfred Hitchcock,
Alfred Hitchcock Classics Collection,Psycho,1960,,✓,✓,✓,,,Universal,Alfred Hitchcock,
Alfred Hitchcock Classics Collection,"Birds, The",1963,,✓,✓,✓,,,Universal,Alfred Hitchcock,
,Big Fish,2003,,✓,✓,✓,,,Sony Pictures,Tim Burton,
,Pulp Fiction,1994,,✓,✓,✓,,,Paramount,Quentin Tarantino,
,Hundreds of Beavers,2022,,✓,✓,✓,,,Lightbulb Film Distribution,Mike Cheslik,
,Ghost Dog: The Way of the Samurai,1999,,✓,✓,✓,,,StudioCanal,Jim Jarmusch,
,Hiroshima mon amour,1959,,✓,,✓,,,Arrow Academy,Alain Resnais,
,Scream 3,2000,,✓,,✓,,,Lionsgate,Wes Craven,
,"Sorrow and the Pity, The",1969,,✓,,✓,,,Arrow Academy,Marcel Ophüls,Documentary
,Gomorrah,2008,,✓,,✓,,,Optimum Home Entertainment,Matteo Garrone,
,Godzilla,2014,,✓,✓,✓,,,Warner Bros.,Gareth Edwards,
,"Death of Stalin, The",2017,,✓,,✓,,,Concorde Home Entertainment,Armando Iannucci,German release; English version on the disc
,Rosemary's Baby,1968,,✓,✓,✓,,,Paramount,Roman Polanski,
,"Fifth Element, The",1997,,✓,✓,✓,,,StudioCanal,Luc Besson,
,Never Let Me Go,2010,,✓,,✓,,,20th Century Fox,Mark Romanek,
"James Bond Collection, The",Dr. No,1962,,✓,,✓,,,MGM,Terence Young,
"James Bond Collection, The",From Russia with Love,1963,,✓,,✓,,,MGM,Terence Young,
"James Bond Collection, The",Goldfinger,1964,,✓,,✓,,,MGM,Guy Hamilton,
"James Bond Collection, The",Thunderball,1965,,✓,,✓,,,MGM,Terence Young,
"James Bond Collection, The",You Only Live Twice,1967,,✓,,✓,,,MGM,Lewis Gilbert,
"James Bond Collection, The",On Her Majesty's Secret Service,1969,,✓,,✓,,,MGM,Peter R. Hunt,
"James Bond Collection, The",Diamonds Are Forever,1971,,✓,,✓,,,MGM,Guy Hamilton,
"James Bond Collection, The",Live and Let Die,1973,,✓,,✓,,,MGM,Guy Hamilton,
"James Bond Collection, The","Man with the Golden Gun, The",1974,,✓,,✓,,,MGM,Guy Hamilton,
"James Bond Collection, The","Spy Who Loved Me, The",1977,,✓,,✓,,,MGM,Lewis Gilbert,
"James Bond Collection, The",Moonraker,1979,,✓,,✓,,,MGM,Lewis Gilbert,
"James Bond Collection, The",For Your Eyes Only,1981,,✓,,✓,,,MGM,John Glen,
"James Bond Collection, The",Octopussy,1983,,✓,,✓,,,MGM,John Glen,
"James Bond Collection, The",A View to a Kill,1985,,✓,,✓,,,MGM,John Glen,
"James Bond Collection, The","Living Daylights, The",1987,,✓,,✓,,,MGM,John Glen,
"James Bond Collection, The",Licence to Kill,1989,,✓,,✓,,,MGM,John Glen,
"James Bond Collection, The",GoldenEye,1995,,✓,,✓,,,MGM,Martin Campbell,
"James Bond Collection, The",Tomorrow Never Dies,1997,,✓,,✓,,,MGM,Roger Spottiswoode,
"James Bond Collection, The","World Is Not Enough, The",1999,,✓,,✓,,,MGM,Michael Apted,
"James Bond Collection, The",Die Another Day,2002,,✓,,✓,,,MGM,Lee Tamahori,
"James Bond Collection, The",Casino Royale,2006,,✓,,✓,,,MGM,Martin Campbell,
"James Bond Collection, The",Quantum of Solace,2008,,✓,,✓,,,MGM,Marc Forster,
"James Bond Collection, The",Skyfall,2012,,✓,,✓,,,MGM,Sam Mendes,
,"Godfather, The",1972,,✓,✓,✓,,,Paramount,Francis Ford Coppola,
,"Godfather Part II, The",1974,,✓,✓,✓,,,Paramount,Francis Ford Coppola,
,Tenet,2020,,✓,✓,✓,,,Warner Bros.,Christopher Nolan,
,Naked,1993,,✓,,✓,,,BFI,Mike Leigh,
,Jojo Rabbit,2019,,✓,,✓,,,20th Century Fox,Taika Waititi,
,"Revenant, The",2015,,✓,,✓,,,20th Century Fox,Alejandro G. Iñárritu,
,"Extraordinary Adventures of Adèle Blanc-Sec, The",2010,,✓,,✓,,,Optimum Home Entertainment,Luc Besson,
,Star Trek Beyond,2016,,✓,✓,✓,,,Paramount,Justin Lin,
Apocalypse Now: Final Cut,Apocalypse Now,1979,,✓,✓,✓,,,StudioCanal,Francis Ford Coppola,Theatrical cut
Apocalypse Now: Final Cut,Apocalypse Now (Redux),1979 / 2001,,✓,✓,✓,,,StudioCanal,Francis Ford Coppola,
